"EMM_ENTY_SRNO","EMM_MKT_SRNO","EMM_TRDNG_MTHD_SRNO","EMM_RCRD_SRNO","EMM_MKT_MAKING_TYPE_INDC","EMM_ELGBLT_FROM_DATE","EMM_ELGBLT_TO_DATE","EMM_MKT_MAKING_STATUS_INDC","EMM_CRTD_USER_ID","EMM_CRTD_DATE","EMM_UPDTD_USER_ID","EMM_UPDTD_DATE"
"901287","4","2","1","1","2015-6-2","9998-12-31","1","msczhuc","2015-6-2 14:23:49","msczhuc","2015-6-2 14:23:49"
"901288","4","2","1","1","2015-6-2","9998-12-31","1","msczhuc","2015-6-2 17:30:27","msczhuc","2015-6-2 17:30:27"
"403286","4","2","1","1","2015-6-1","9998-12-31","1","mscwhm","2015-6-16 11:10:45","acc3","2015-6-16 15:38:55"
"403249","4","2","1","1","2015-6-16","9998-12-31","1","mscldx","2015-6-16 10:05:03","mscldx","2015-6-16 10:05:03"
"100111","4","2","1","1","2015-10-15","9998-12-31","1","msclsf1","2015-10-15 10:00:13","msclsf1","2015-10-15 10:00:13"
"403310","4","2","1","1","2015-6-16","9998-12-31","1","msclsf1","2015-6-16 15:53:53","msclsf1","2015-6-16 15:53:53"
"403311","4","2","1","1","2015-6-16","9998-12-31","1","msclsf1","2015-6-16 15:54:26","msclsf1","2015-6-16 15:54:26"
"102144","4","2","1","1","2015-6-24","2017-3-16","1","mscldx","2015-6-24 15:58:32","msclz","2016-2-17 16:08:20"
"403260","4","2","1","1","2015-6-11","9998-12-31","1","msclys","2015-6-11 9:24:23","msclys","2015-6-11 9:24:23"
"403260","6","2","1","1","2015-6-11","9998-12-31","1","msclys","2015-6-11 9:24:23","msclys","2015-6-11 9:24:23"
"403280","4","2","1","1","2015-6-11","9998-12-31","1","msclys","2015-6-11 9:24:38","msclys","2015-6-11 9:24:38"
"403280","6","2","1","1","2015-6-11","9998-12-31","1","msclys","2015-6-11 9:24:38","msclys","2015-6-11 9:24:38"
"403238","4","2","1","1","2015-6-11","9998-12-31","1","mscqym","2015-6-11 9:32:13","mscqym","2015-6-11 9:32:13"
"403238","6","2","1","1","2015-6-11","9998-12-31","1","mscqym","2015-6-11 9:32:13","mscqym","2015-6-11 9:32:13"
"403240","4","2","1","1","2015-6-11","9998-12-31","1","mscqym","2015-6-11 14:00:38","acc3","2015-6-18 16:56:53"
"403240","6","2","1","1","2015-6-11","9998-12-31","1","mscqym","2015-6-11 14:00:38","mscqym","2015-6-11 14:00:38"
"403330","4","2","1","1","2015-7-1","9998-12-31","1","cw001","2015-7-1 10:43:04","cw001","2015-7-1 10:43:04"
"403331","4","2","1","1","2015-7-1","9998-12-31","1","cw001","2015-7-1 11:19:09","cw001","2015-7-1 11:19:09"
"403336","4","2","1","1","2015-7-1","9998-12-31","1","msclys","2015-7-1 17:16:46","msclys","2015-7-1 17:16:46"
"403336","6","2","1","1","2015-7-1","9998-12-31","1","msclys","2015-7-1 17:16:46","msclys","2015-7-1 17:16:46"
"403348","4","2","1","1","2015-7-3","9998-12-31","1","cw001","2015-7-3 16:53:15","cw001","2015-7-3 16:53:15"
"403347","4","2","1","1","2015-7-3","9998-12-31","1","cw001","2015-7-3 16:53:30","cw001","2015-7-3 16:53:30"
"901305","4","2","1","1","2015-7-24","9998-12-31","1","cw001","2015-7-24 10:00:16","cw001","2015-7-24 10:00:16"
"100096","4","2","1","1","2015-7-15","9998-12-31","1","mscwwy","2015-7-15 14:11:16","mscwwy","2015-7-15 14:11:16"
"863268","4","2","1","1","2015-7-21","9998-12-31","1","mscqym","2015-7-21 15:13:28","mscqym","2015-7-21 15:13:28"
"100002","6","2","1","1","2015-7-30","2016-1-18","1","msclsf","2015-7-30 10:49:56","msclsf","2015-7-30 10:49:56"
"100003","4","2","1","1","2015-7-30","9998-12-31","1","msclsf","2015-7-30 11:11:23","msclsf","2015-7-30 11:11:23"
"100003","6","2","1","1","2015-7-30","9998-12-31","1","msclsf","2015-7-30 11:11:23","msclsf","2015-7-30 11:11:23"
"901318","4","2","1","1","2015-9-10","9998-12-31","1","mscxy","2015-9-10 15:28:14","mscxy","2015-9-10 15:28:14"
"901319","4","2","1","1","2015-9-10","9998-12-31","1","mscmwj","2015-9-10 15:32:47","mscmwj","2015-9-10 15:32:47"
"901320","4","2","1","1","2015-9-10","9998-12-31","1","mscqym","2015-9-10 16:44:06","mscqym","2015-9-10 16:44:06"
"100005","4","2","2","1","2015-11-23","9998-12-31","1","wanghc","2015-11-23 16:39:59","wanghc","2015-11-23 16:39:59"
"100156","4","2","1","1","2015-10-9","9998-12-31","1","huayu","2015-10-9 14:09:16","huayu","2015-10-9 14:09:16"
"302248","4","2","1","1","2015-10-9","9998-12-31","1","huayu","2015-10-9 14:36:58","huayu","2015-10-9 14:36:58"
"100112","4","2","1","1","2015-10-15","9998-12-31","1","msclsf1","2015-10-15 10:01:33","msclsf1","2015-10-15 10:01:33"
"101140","4","2","1","1","2015-10-15","9998-12-31","1","mscwbn2","2015-10-15 10:37:50","mscwbn2","2015-10-15 10:37:50"
"100473","4","2","1","1","2015-10-15","2020-1-30","1","mscwbn2","2015-10-15 10:38:15","cw002","2016-1-19 11:00:12"
"200111","4","2","1","1","2015-10-15","9998-12-31","1","msclsf1","2015-10-15 10:41:26","msclsf1","2015-10-15 10:41:26"
"403302","4","2","1","1","2015-10-19","9998-12-31","1","msclsf1","2015-10-19 9:41:53","msclsf1","2015-10-19 9:41:53"
"403265","4","2","1","1","2015-10-19","9998-12-31","1","msclsf1","2015-10-19 9:50:22","msclsf1","2015-10-19 9:50:22"
"403250","4","2","1","1","2015-10-19","9998-12-31","1","msclsf1","2015-10-19 9:58:19","msclsf1","2015-10-19 9:58:19"
"403283","4","2","1","1","2015-10-19","9998-12-31","1","msclsf1","2015-10-19 10:00:53","msclsf1","2015-10-19 10:00:53"
"403282","4","2","1","1","2015-10-19","9998-12-31","1","msclsf1","2015-10-19 10:16:44","msclsf1","2015-10-19 10:16:44"
"901334","4","2","1","1","2015-10-22","9998-12-31","1","mscmtn","2015-10-22 14:17:53","mscmtn","2015-10-22 14:17:53"
"500834","4","2","1","1","2016-1-26","9998-12-31","1","msclys","2016-1-26 10:06:23","msclys","2016-1-26 10:06:23"
"654444","4","2","1","1","2016-1-29","9998-12-31","1","mschhj","2016-1-29 14:08:20","mschhj","2016-1-29 14:08:20"
"507818","4","2","1","1","2016-1-29","9998-12-31","1","cw001","2016-1-29 14:08:23","cw001","2016-1-29 14:08:23"
"901396","4","2","1","1","2016-1-29","9998-12-31","1","msclz","2016-1-29 14:09:30","msclz","2016-1-29 14:09:30"
"901398","4","2","1","1","2016-1-29","9998-12-31","1","msclz","2016-1-29 14:11:33","msclz","2016-1-29 14:11:33"
"901399","4","2","1","1","2016-1-29","9998-12-31","1","msclz","2016-1-29 14:19:29","msclz","2016-1-29 14:19:29"
"901395","4","2","1","1","2016-1-29","9998-12-31","1","yao","2016-1-29 14:25:13","yao","2016-1-29 14:25:13"
"901393","4","2","1","1","2016-1-29","9998-12-31","1","yao","2016-1-29 14:25:34","yao","2016-1-29 14:25:34"
"901397","4","2","1","1","2016-1-29","2016-2-3","1","yao","2016-1-29 14:25:50","yao","2016-1-29 14:25:50"
"901402","4","2","1","1","2016-1-29","9998-12-31","1","msclz","2016-1-29 14:41:22","msclz","2016-1-29 14:41:22"
"654445","4","2","1","1","2016-1-29","9998-12-31","1","CFETS","2016-1-29 14:42:09","CFETS","2016-1-29 14:42:09"
"901404","4","2","1","1","2016-1-29","9998-12-31","1","msclz","2016-1-29 15:09:00","msclz","2016-1-29 15:09:00"
"645000","4","2","1","1","2016-1-29","9998-12-31","1","mschhj","2016-1-29 15:14:45","mschhj","2016-1-29 15:14:45"
"645001","4","2","1","1","2016-1-29","9998-12-31","1","mschhj","2016-1-29 15:34:24","mschhj","2016-1-29 15:34:24"
"100051","4","2","1","2","2004-7-22","9997-10-21","1","mscwwy","2016-1-29 15:35:53","mscwwy","2016-1-29 15:35:53"
